LebwohlLasher.py: Size: 50, Steps: 50, T*: 0.500: Order: 0.420, Time: 2.364852 s
         1506687 function calls (1490005 primitive calls) in 2.886 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.006    0.006 ExifTags.py:1(<module>)
        1    0.000    0.000    0.006    0.006 common.py:8(pyparsing_common)
      959    0.004    0.000    0.006    0.000 inspect.py:3051(__init__)
17068/17034    0.004    0.000    0.006    0.000 {built-in method builtins.hasattr}
      186    0.001    0.000    0.006    0.000 colors.py:325(_to_rgba_no_colorcycle)
    85/30    0.000    0.000    0.006    0.000 typing.py:1452(__getitem__)
      265    0.001    0.000    0.006    0.000 overrides.py:144(decorator)
    95/90    0.000    0.000    0.006    0.000 typing.py:574(__getitem__)
      357    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap>:416(__enter__)
      235    0.002    0.000    0.005    0.000 typing.py:260(_collect_type_parameters)
       90    0.000    0.000    0.005    0.000 typing.py:753(Union)
    63509    0.005    0.000    0.005    0.000 {built-in method builtins.min}
        1    0.000    0.000    0.005    0.005 category.py:1(<module>)
       19    0.000    0.000    0.005    0.000 rcsetup.py:814(validate_cycler)
        3    0.000    0.000    0.005    0.002 patches.py:2293(__init_subclass__)
      342    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
     7117    0.002    0.000    0.005    0.000 enum.py:695(__call__)
       48    0.000    0.000    0.005    0.000 __init__.py:1406(_add_data_doc)
        6    0.000    0.000    0.005    0.001 patches.py:2335(pprint_styles)
     9242    0.005    0.000    0.005    0.000 {method 'split' of 'str' objects}
      479    0.002    0.000    0.005    0.000 enum.py:251(__set_name__)
        1    0.000    0.000    0.005    0.005 helpers.py:1(<module>)
        1    0.000    0.000    0.005    0.005 _methods.py:1(<module>)
        1    0.000    0.000    0.005    0.005 _dtype_like.py:1(<module>)
    37885    0.005    0.000    0.005    0.000 {method 'append' of 'list' objects}
        1    0.000    0.000    0.005    0.005 cm.py:32(_gen_cmap_registry)
      267    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap>:463(_lock_unlock_module)
     3176    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:131(_path_join)
      586    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:513(cache_from_source)
       13    0.000    0.000    0.004    0.000 rcsetup.py:426(validate_font_properties)
       10    0.000    0.000    0.004    0.000 _fontconfig_pattern.py:77(parse_fontconfig_pattern)
       63    0.002    0.000    0.004    0.000 {built-in method builtins.eval}
        1    0.000    0.000    0.004    0.004 _parser.py:1(<module>)
      403    0.004    0.000    0.004    0.000 {method 'read' of '_io.BufferedReader' objects}
        1    0.000    0.000    0.004    0.004 artist.py:1(<module>)
        2    0.000    0.000    0.004    0.002 version.py:1(<module>)
       64    0.001    0.000    0.004    0.000 deprecation.py:414(make_keyword_only)
        1    0.000    0.000    0.004    0.004 table.py:1(<module>)
        1    0.002    0.002    0.004    0.004 pickle.py:1(<module>)
